master_id,scheme_code,canonical_name,record_kind,official_page_url,application_status,closing_date,funding_maximum,funding_evidence,last_verified_at,guideline_urls,status_evidence,source,department,implementing_agency,objectives,eligibility,benefits,sectors,scheme_types,target_beneficiaries,startup_stage,warnings,application_url
agri_rkvy_iae,RKVY-IAE,Innovation and Agri-Entrepreneurship Development (RKVY-RAFTAAR),SCHEME,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1776576&lang=2&reg=48,STATUS_UNVERIFIED,,,,2026-07-22,https://rkvy.da.gov.in/,Official PIB release identifies this as a Ministry of Agriculture and Farmers Welfare startup and agri-entrepreneurship support component.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,Ministry of Agriculture & Farmers Welfare,Support incubation and agri-entrepreneurship through R-ABIs,Startups and innovators in agriculture and allied sectors,Incubation and financial support,Agriculture and allied sectors,INCUBATION|GRANT_SUPPORT,Agri-startups|Innovators,Idea|Prototype|Early,Current application window is not inferred without dated official evidence.
agri_rkvy_rabi,RKVY-RABI,RKVY-RAFTAAR Agri-Business Incubation (R-ABI),PROGRAMME,https://rkvy-raftaariitbhu.org/,STATUS_UNVERIFIED,,500000,Pre-seed support up to Rs 5 lakh is stated for the R-ABI pathway by the official R-ABI portal.,2026-07-22,https://rkvy-raftaariitbhu.org/,Official R-ABI portal describes the incubation and pre-seed support pathway.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,R-ABI knowledge partners,Incubate and de-risk agri-startups,Agri-startups|Researchers|Innovators,Incubation and pre-seed support,Agriculture and allied sectors,INCUBATION|GRANT_SUPPORT,Agri-startups|Innovators,Prototype|Early,The Rs 5 lakh figure applies to the cited pre-seed pathway and is not a universal RKVY ceiling.
agri_agrisure,AGRISURE,AgriSURE - Agri Fund for Start-ups and Rural Enterprises,SCHEME,https://www.nabard.org/agrisure.aspx,STATUS_UNVERIFIED,,250000000,Official NABARD page states variable investment tickets up to Rs 25 crore; the Rs 750 crore corpus is not applicant funding.,2026-07-22,https://www.nabard.org/agrisure.aspx,Official NABARD AgriSURE page names the fund sponsors manager and startup focus.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,NABVENTURES,Invest in agriculture and rural startups through a governed fund,Startups|Rural enterprises,Equity and fund investment,Agriculture|Rural economy,VENTURE_FUND|EQUITY,Agri-startups|Rural enterprises,Early|Growth,Fund corpus is distinct from the maximum ticket and product terms vary by fund route.
agri_agrisure_fof,AGRISURE-FOF,AgriSURE - Fund of Funds,PROGRAMME,https://www.nabard.org/agrisure.aspx,STATUS_UNVERIFIED,,,,2026-07-22,https://www.nabard.org/agrisure.aspx,Official NABARD page lists FoF as a separate AgriSURE route.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,NABVENTURES,Back eligible agriculture and rural venture funds,Startups|Venture funds,Fund-of-funds support,Agriculture|Rural economy,VENTURE_FUND,Agri-startups|Venture funds,Growth,Route-level ticket limits are not stated on the cited page.
agri_agrisure_direct,AGRISURE-DIRECT,AgriSURE - Direct Scheme,PROGRAMME,https://www.nabard.org/agrisure.aspx,STATUS_UNVERIFIED,,250000000,Official NABARD page states variable investment tickets up to Rs 25 crore for AgriSURE products.,2026-07-22,https://www.nabard.org/agrisure.aspx,Official NABARD page lists Direct as a separate route within AgriSURE.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,NABVENTURES,Provide direct investment support to qualifying agri and rural startups,Startups|Rural enterprises,Equity investment,Agriculture|Rural economy,VENTURE_FUND|EQUITY,Agri-startups|Rural enterprises,Early|Growth,Eligibility and investment terms must be confirmed from the route-level fund documents.
agri_sfac_vca,SFAC-VCA,SFAC Venture Capital Assistance,SCHEME,https://sfacindia.com/VCAfaq.aspx,STATUS_UNVERIFIED,,,,2026-07-22,https://sfacindia.com/VCAfaq.aspx,Official SFAC FAQ identifies Venture Capital Assistance for eligible agribusiness ventures.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,Small Farmers Agribusiness Consortium (SFAC),Provide venture assistance to eligible agribusiness ventures,Agri-business ventures|Producer organisations,Venture assistance,Agriculture|Food processing,VENTURE_FUND|CREDIT_SUPPORT,Agri-business startups|FPOs,Early|Growth,The official FAQ governs eligibility and route-specific limits; no generic maximum is inferred.
agri_naif,NAIF,National Agriculture Innovation Fund (NAIF),PROGRAMME,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1813674&lang=2&reg=48,STATUS_UNVERIFIED,,,,2026-07-22,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1813674&lang=2&reg=48,Official PIB material describes NAIF as an agriculture innovation and incubation ecosystem.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,Indian Council of Agricultural Research,Enable agriculture innovation and enterprise development,Agri-innovators|Incubators,Innovation and incubation,Agriculture and allied sectors,INCUBATION|INNOVATION_SUPPORT,Agri-startups|Researchers,Idea|Prototype,No dated application window is inferred from the programme reference.
agri_aif,AIF,Agriculture Infrastructure Fund - agri-enterprise relevance,SCHEME,https://fw.pmkisan.gov.in/Documents/Operational%20Guidelines%20of%20Financing%20Facility%20under%20Agriculture%20Infrastructure%20Fund.pdf,STATUS_UNVERIFIED,,,,2026-07-22,https://fw.pmkisan.gov.in/Documents/Operational%20Guidelines%20of%20Financing%20Facility%20under%20Agriculture%20Infrastructure%20Fund.pdf,Official AIF operational guidelines are retained for startup and agri-infrastructure enterprise relevance.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,Department of Agriculture & Farmers Welfare,Finance eligible agriculture infrastructure and enterprise projects,Startups|FPOs|Agri-enterprises,Interest support and credit guarantee,Agriculture infrastructure,INFRASTRUCTURE_FINANCE|CREDIT_SUPPORT,Agri-startups|Agri-enterprises,Early|Growth,Not startup-exclusive; retained only where the official guidelines support an agri-enterprise use case.
agri_agrisure_greenathon_2024,AGRISURE-GREENATHON-2024,AgriSURE Greenathon 2024,CHALLENGE,https://www.nabard.org/agrisure-greenathon.aspx,CLOSED,,,,2026-07-22,https://www.nabard.org/agrisure-greenathon.aspx,Official NABARD Greenathon page is a historical innovation challenge reference.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,NABARD,Source solutions for sustainable agriculture and rural development,Startups|Innovators|Students,Challenge and recognition,Agriculture|Climate|Rural economy,CHALLENGE|COMPETITION,Agri-startups|Innovators|Students,Idea|Prototype,No exact closing date is retained from the cited source page; historical reference only.
agri_kshitij,KSHITIJ,KSHITIJ ICAR-CIRCOT Startup Incubation Programme,PROGRAMME,https://circot.icar.gov.in/kshitij-icar-circot-startup-incubation-programme,STATUS_UNVERIFIED,,,,2026-07-22,https://circot.icar.gov.in/kshitij-icar-circot-startup-incubation-programme,Official ICAR-CIRCOT page describes a pan-India incubation programme for farm mechanisation and post-harvest startups.,Agriculture & Farmers Welfare startup ecosystem,Department of Agriculture & Farmers Welfare,ICAR-CIRCOT Agri Business Incubation Centre,Incubate and validate farm mechanisation and post-harvest technologies,Innovators|Entrepreneurs|Early-stage startups,Incubation mentoring and validation,Farm mechanisation|Post-harvest|Digital agriculture,INCUBATION|INNOVATION_SUPPORT,Agri-startups|Innovators,Prototype|MVP,Programme identity is retained separately from dated application cohorts.
